name, vocabulary_machine_name, description, format, weight, parent, description_field, field_iso3, field_linked_uris, field_old_geopolitical_ontology_, name_field, synonyms_synonyms, synonyms_synonyms, Term name
Afghanistan,countries,,,1,,,AFG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Afghanistan,http://aims.fao.org/aos/geopolitical.owl#Afghanistan,Afghanistan,Afganistán,,Afghanistan
Africa,countries,"Africa is the world's second-largest and second most-populous continent, after Asia. At about 30.2 million km² (11.7 million sq mi) including adjacent islands, it covers 6% of the Earth's total surface area and 20.4% of the total land area.[2] With 1.0 billion people (as of 2009, see table) in 61 territories, it accounts for about 14.72% of the world's human population.",plain_text,0,,"Africa is the world's second-largest and second most-populous continent, after Asia. At about 30.2 million km² (11.7 million sq mi) including adjacent islands, it covers 6% of the Earth's total surface area and 20.4% of the total land area.[2] With 1.0 billion people (as of 2009, see table) in 61 territories, it accounts for about 14.72% of the world's human population.",,,,Africa,,,Africa
Afrique du Sud,countries,,,521,,,,,,Afrique du Sud,,,Afrique du Sud
Aland Islands,countries,,,7,,,,,,Aland Islands,Islas de Åland,Åland,Aland Islands
Albania,countries,,,5,,,ALB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Albania,http://aims.fao.org/aos/geopolitical.owl#Albania,Albania,Albanie,,Albania
Algeria,countries,,,137,,,DZA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Algeria,http://aims.fao.org/aos/geopolitical.owl#Algeria,Algeria,Algérie,,Algeria
American Samoa,countries,,plain_text,0,,,,,,American Samoa,,,American Samoa
Andorra,countries,,,10,,,AND,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Andorra,http://aims.fao.org/aos/geopolitical.owl#Andorra,Andorra,Andorre,,Andorra
Angola,countries,,,3,,,AGO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Angola,http://aims.fao.org/aos/geopolitical.owl#Angola,Angola,,,Angola
Anguilla,countries,,,4,,,,,,Anguilla,,,Anguilla
Antarctica,countries,,,22,,,,,,Antarctica,Antártida,Antarctique,Antarctica
Antigua and Barbuda,countries,,,31,,,ATG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Antigua_and_Barbuda,http://aims.fao.org/aos/geopolitical.owl#Antigua_and_Barbuda,Antigua and Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,Antigua and Barbuda
Argelia,countries,,,138,,,,,,Argelia,,,Argelia
Argentina,countries,,,15,,,ARG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Argentina,http://aims.fao.org/aos/geopolitical.owl#Argentina,Argentina,Argentine,,Argentina
Armenia,countries,,,17,,,ARM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Armenia,http://aims.fao.org/aos/geopolitical.owl#Armenia,Armenia,Arménie,,Armenia
Aruba,countries,,,0,,,,,,Aruba,,,Aruba
Ashmore and Cartier Islands,countries,,,25,,,,,,Ashmore and Cartier Islands,,,Ashmore and Cartier Islands
Asia,countries,,plain_text,-1,,,,,,Asia,,,Asia
Australia,countries,,,34,,,AUS,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Australia,http://aims.fao.org/aos/geopolitical.owl#Australia,Australia,Australie,,Australia
Austria,countries,,,36,,,AUT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Austria,http://aims.fao.org/aos/geopolitical.owl#Austria,Austria,Autriche,,Austria
Azerbaijan,countries,,,38,,,AZE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Azerbaijan,http://aims.fao.org/aos/geopolitical.owl#Azerbaijan,Azerbaijan,Azerbaiyán,Azerbaïdjan,Azerbaijan
Bahamas,countries,,,55,,,BHS,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bahamas_the,http://aims.fao.org/aos/geopolitical.owl#Bahamas_the,Bahamas,,,Bahamas
Bahrain,countries,,,53,,,BHR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bahrain,http://aims.fao.org/aos/geopolitical.owl#Bahrain,Bahrain,Bahrein,,Bahrain
Bangladesh,countries,,,50,,,BGD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bangladesh,http://aims.fao.org/aos/geopolitical.owl#Bangladesh,Bangladesh,,,Bangladesh
Barbados,countries,,,73,,,BRB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Barbados,http://aims.fao.org/aos/geopolitical.owl#Barbados,Barbados,Barbade,,Barbados
Belarus,countries,,,62,,,BLR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Belarus,http://aims.fao.org/aos/geopolitical.owl#Belarus,Belarus,,,Belarus
Belgium,countries,,,42,,,BEL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Belgium,http://aims.fao.org/aos/geopolitical.owl#Belgium,Belgium,Bélgica,Belgique,Belgium
Belize,countries,,,63,,,BLZ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Belize,http://aims.fao.org/aos/geopolitical.owl#Belize,Belize,Belice,,Belize
Benin,countries,,,45,,,BEN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Benin,http://aims.fao.org/aos/geopolitical.owl#Benin,Benin,,,Benin
Bermudas,countries,,,66,,,,,,Bermudas,Bermuda,Bermudes,Bermudas
Bhutan,countries,,,76,,,BTN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bhutan,http://aims.fao.org/aos/geopolitical.owl#Bhutan,Bhutan,Bhoutan,,Bhutan
Bolivia,countries,,,68,,,BOL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bolivia,http://aims.fao.org/aos/geopolitical.owl#Bolivia,Bolivia,Bolivie,,Bolivia
"Bonaire, Sint Eustatius and Saba",countries,,,46,,,,,,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius y Saba","Bonaire, Sint Eustatius et Saba","Bonaire, Sint Eustatius and Saba"
Bosnia and Herzegovina,countries,,,56,,,BIH,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bosnia_and_Herzegovina,http://aims.fao.org/aos/geopolitical.owl#Bosnia_and_Herzegovina,Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnie-Herzégovine,Bosnia and Herzegovina
Botswana,countries,,,78,,,BWA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Botswana,http://aims.fao.org/aos/geopolitical.owl#Botswana,Botswana,,,Botswana
Brazil,countries,,,70,,,BRA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Brazil,http://aims.fao.org/aos/geopolitical.owl#Brazil,Brazil,Brasil,Brésil,Brazil
British Indian Ocean Territory,countries,,,229,,,,,,British Indian Ocean Territory,,,British Indian Ocean Territory
British Virgin Islands,countries,,,505,,,,,,British Virgin Islands,,,British Virgin Islands
Brunei Darussalam,countries,,,75,,,BRN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Brunei_Darussalam,http://aims.fao.org/aos/geopolitical.owl#Brunei_Darussalam,Brunei Darussalam,,,Brunei Darussalam
Bulgaria,countries,,,51,,,BGR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bulgaria,http://aims.fao.org/aos/geopolitical.owl#Bulgaria,Bulgaria,Bulgarie,,Bulgaria
Burkina Faso,countries,,,49,,,BFA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Burkina_Faso,http://aims.fao.org/aos/geopolitical.owl#Burkina_Faso,Burkina Faso,,,Burkina Faso
Burundi,countries,,,41,,,BDI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Burundi,http://aims.fao.org/aos/geopolitical.owl#Burundi,Burundi,,,Burundi
Cabo Verde,countries,,,107,,,,,,Cabo Verde,,,Cabo Verde
Cambodge,countries,,,264,,,,,,Cambodge,,,Cambodge
Cambodia,countries,,,262,,,KHM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cambodia,http://aims.fao.org/aos/geopolitical.owl#Cambodia,Cambodia,,,Cambodia
Camboya,countries,,,263,,,,,,Camboya,,,Camboya
Cameroon,countries,,,91,,,CMR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cameroon,http://aims.fao.org/aos/geopolitical.owl#Cameroon,Cameroon,,,Cameroon
Cameroun,countries,,,93,,,,,,Cameroun,,,Cameroun
Camerún,countries,,,92,,,,,,Camerún,,,Camerún
Canada,countries,,,82,,,CAN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Canada,http://aims.fao.org/aos/geopolitical.owl#Canada,Canada,,,Canada
Cap-Vert,countries,,,108,,,,,,Cap-Vert,,,Cap-Vert
Cape Verde,countries,,,106,,,CPV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cape_Verde,http://aims.fao.org/aos/geopolitical.owl#Cape_Verde,Cape Verde,,,Cape Verde
Caribbean,countries,,plain_text,0,,,,,,Caribbean,,,Caribbean
Cayman Islands,countries,,,113,,,,,,Cayman Islands,,,Cayman Islands
