"","regions","","","0","","","","","",""
"Africa","regions","","","0","","","Africa","","http://aims.fao.org/aos/geopolitical.owl#Africa","Africa"
"","regions","","","0","","","","","",""
"Americas","regions","","","0","","","Americas","","http://aims.fao.org/aos/geopolitical.owl#Americas","Americas"
"","regions","","","0","","","","","",""
"Andean Community","regions","","","0","","","Andean Community","","http://aims.fao.org/aos/geopolitical.owl#CAN","CAN"
"","regions","","","0","","","","","",""
"Arab Maghreb Union","regions","","","0","","","Arab Maghreb Union","","http://aims.fao.org/aos/geopolitical.owl#AMU","AMU"
"Asia","regions","","","0","","","Asia","","http://aims.fao.org/aos/geopolitical.owl#Asia","Asia"
"","regions","","","0","","","","","",""
"Australia and New Zealand","regions","","","0","","","Australia and New Zealand","","http://aims.fao.org/aos/geopolitical.owl#Australia_and_New_Zealand","Australia and New Zealand"
"","regions","","","0","","","","","",""
"Caribbean","regions","","","0","","","Caribbean","","http://aims.fao.org/aos/geopolitical.owl#Caribbean","Caribbean"
"","regions","","","0","","","","","",""
"Caribbean Community and Common Market","regions","","","0","","","Caribbean Community and Common Market","","http://aims.fao.org/aos/geopolitical.owl#CARICOM","CARICOM"
"","regions","","","0","","","","","",""
"Caribbean Forum of African, Caribbean and Pacific States","regions","","","0","","","Caribbean Forum of African, Caribbean and Pacific States","","http://aims.fao.org/aos/geopolitical.owl#CARIFORUM","CARIFORUM"
"","regions","","","0","","","","","",""
"Central African Economic and Monetary Community","regions","","","0","","","Central African Economic and Monetary Community","","http://aims.fao.org/aos/geopolitical.owl#CEMAC","CEMAC"
"","regions","","","0","","","","","",""
"central America","regions","","","0","","","central America","","http://aims.fao.org/aos/geopolitical.owl#central_America","central America"
"Central American Council of Agriculture","regions","","","0","","","Central American Council of Agriculture","","http://aims.fao.org/aos/geopolitical.owl#CAC","CAC"
"Central Asia","regions","","","0","","","Central Asia","","http://aims.fao.org/aos/geopolitical.owl#central_Asia","Central Asia"
"","regions","","","0","","","","","",""
"Common Market for Eastern and Southern Africa","regions","","","0","","","Common Market for Eastern and Southern Africa","","http://aims.fao.org/aos/geopolitical.owl#COMESA","COMESA"
"Community of Sahel-Saharan States","regions","","","0","","","Community of Sahel-Saharan States","","http://aims.fao.org/aos/geopolitical.owl#CEN_SAD","CEN-SAD"
"","regions","","","0","","","","","",""
"Cooperation Council for the Arab States of the Gulf","regions","","","0","","","Cooperation Council for the Arab States of the Gulf","","http://aims.fao.org/aos/geopolitical.owl#CCASG","CCASG"
"","regions","","","0","","","","","",""
"Council of Arab Economic Unity","regions","","","0","","","Council of Arab Economic Unity","","http://aims.fao.org/aos/geopolitical.owl#CAEU","CAEU"
"","regions","","","0","","","","","",""
"eastern Africa","regions","","","0","","","eastern Africa","","http://aims.fao.org/aos/geopolitical.owl#eastern_Africa","eastern Africa"
"eastern Asia","regions","","","0","","","eastern Asia","","http://aims.fao.org/aos/geopolitical.owl#eastern_Asia","eastern Asia"
"eastern Europe","regions","","","0","","","eastern Europe","","http://aims.fao.org/aos/geopolitical.owl#eastern_Europe","eastern Europe"
"","regions","","","0","","","","","",""
"Economic Community of Central African States","regions","","","0","","","Economic Community of Central African States","","http://aims.fao.org/aos/geopolitical.owl#CEEAC","ECCAS"
"","regions","","","0","","","","","",""
"Economic Community of West African States","regions","","","0","","","Economic Community of West African States","","http://aims.fao.org/aos/geopolitical.owl#ECOWAS","ECOWAS"
"","regions","","","0","","","","","",""
"Economic Cooperation Organization","regions","","","0","","","Economic Cooperation Organization","","http://aims.fao.org/aos/geopolitical.owl#ECO","ECO"
"Europe","regions","","","0","","","Europe","","http://aims.fao.org/aos/geopolitical.owl#Europe","Europe"
"","regions","","","0","","","","","",""
"European Union","regions","","","0","","","European Union","","http://aims.fao.org/aos/geopolitical.owl#EU","European Union"
"","regions","","","0","","","","","",""
"Food and Agriculture Organization of the United Nations","regions","","","0","","","Food and Agriculture Organization of the United Nations","","http://aims.fao.org/aos/geopolitical.owl#FAO","FAO"
"","regions","","","0","","","","","",""
"Intergovernmental Authority on Development","regions","","","0","","","Intergovernmental Authority on Development","","http://aims.fao.org/aos/geopolitical.owl#IGAD","IGAD"
"","regions","","","0","","","","","",""
"land-locked developing country","regions","","","0","","","land-locked developing country","","http://aims.fao.org/aos/geopolitical.owl#LLDC","LLDCs"
"","regions","","","0","","","","","",""
"least developed countries","regions","","","0","","","least developed countries","","http://aims.fao.org/aos/geopolitical.owl#LDC","LDCs"
"low income and food deficit countries","regions","","","0","","","low income and food deficit countries","","http://aims.fao.org/aos/geopolitical.owl#LIFDC","LIFDCs"
"","regions","","","0","","","","","",""
