,,,
Africa,Africa,http://aims.fao.org/aos/geopolitical.owl#Africa,Africa
,,,
Americas,Americas,http://aims.fao.org/aos/geopolitical.owl#Americas,Americas
,,,
Andean Community,Andean Community,http://aims.fao.org/aos/geopolitical.owl#CAN,CAN
,,,
Arab Maghreb Union,Arab Maghreb Union,http://aims.fao.org/aos/geopolitical.owl#AMU,AMU
Asia,Asia,http://aims.fao.org/aos/geopolitical.owl#Asia,Asia
,,,
Australia and New Zealand,Australia and New Zealand,http://aims.fao.org/aos/geopolitical.owl#Australia_and_New_Zealand,Australia and New Zealand
,,,
Caribbean,Caribbean,http://aims.fao.org/aos/geopolitical.owl#Caribbean,Caribbean
,,,
Caribbean Community and Common Market,Caribbean Community and Common Market,http://aims.fao.org/aos/geopolitical.owl#CARICOM,CARICOM
,,,
"Caribbean Forum of African, Caribbean and Pacific States","Caribbean Forum of African, Caribbean and Pacific States",http://aims.fao.org/aos/geopolitical.owl#CARIFORUM,CARIFORUM
,,,
Central African Economic and Monetary Community,Central African Economic and Monetary Community,http://aims.fao.org/aos/geopolitical.owl#CEMAC,CEMAC
,,,
central America,central America,http://aims.fao.org/aos/geopolitical.owl#central_America,central America
Central American Council of Agriculture,Central American Council of Agriculture,http://aims.fao.org/aos/geopolitical.owl#CAC,CAC
Central Asia,Central Asia,http://aims.fao.org/aos/geopolitical.owl#central_Asia,Central Asia
,,,
Common Market for Eastern and Southern Africa,Common Market for Eastern and Southern Africa,http://aims.fao.org/aos/geopolitical.owl#COMESA,COMESA
Community of Sahel-Saharan States,Community of Sahel-Saharan States,http://aims.fao.org/aos/geopolitical.owl#CEN_SAD,CEN-SAD
,,,
Cooperation Council for the Arab States of the Gulf,Cooperation Council for the Arab States of the Gulf,http://aims.fao.org/aos/geopolitical.owl#CCASG,CCASG
,,,
Council of Arab Economic Unity,Council of Arab Economic Unity,http://aims.fao.org/aos/geopolitical.owl#CAEU,CAEU
,,,
eastern Africa,eastern Africa,http://aims.fao.org/aos/geopolitical.owl#eastern_Africa,eastern Africa
eastern Asia,eastern Asia,http://aims.fao.org/aos/geopolitical.owl#eastern_Asia,eastern Asia
eastern Europe,eastern Europe,http://aims.fao.org/aos/geopolitical.owl#eastern_Europe,eastern Europe
,,,
Economic Community of Central African States,Economic Community of Central African States,http://aims.fao.org/aos/geopolitical.owl#CEEAC,ECCAS
,,,
Economic Community of West African States,Economic Community of West African States,http://aims.fao.org/aos/geopolitical.owl#ECOWAS,ECOWAS
,,,
Economic Cooperation Organization,Economic Cooperation Organization,http://aims.fao.org/aos/geopolitical.owl#ECO,ECO
Europe,Europe,http://aims.fao.org/aos/geopolitical.owl#Europe,Europe
,,,
European Union,European Union,http://aims.fao.org/aos/geopolitical.owl#EU,European Union
,,,
Food and Agriculture Organization of the United Nations,Food and Agriculture Organization of the United Nations,http://aims.fao.org/aos/geopolitical.owl#FAO,FAO
,,,
Intergovernmental Authority on Development,Intergovernmental Authority on Development,http://aims.fao.org/aos/geopolitical.owl#IGAD,IGAD
,,,
land-locked developing country,land-locked developing country,http://aims.fao.org/aos/geopolitical.owl#LLDC,LLDCs
,,,
least developed countries,least developed countries,http://aims.fao.org/aos/geopolitical.owl#LDC,LDCs
low income and food deficit countries,low income and food deficit countries,http://aims.fao.org/aos/geopolitical.owl#LIFDC,LIFDCs
,,,
Melanesia,Melanesia,http://aims.fao.org/aos/geopolitical.owl#Melanesia,Melanesia
,,,
Micronesia,Micronesia,http://aims.fao.org/aos/geopolitical.owl#Micronesia,Micronesia
middle Africa,middle Africa,http://aims.fao.org/aos/geopolitical.owl#middle_Africa,middle Africa
,,,
NFIDC,NFIDC,http://aims.fao.org/aos/geopolitical.owl#NFIDC,NFIDC
,,,
northern Africa,northern Africa,http://aims.fao.org/aos/geopolitical.owl#northern_Africa,northern Africa
,,,
northern America,northern America,http://aims.fao.org/aos/geopolitical.owl#northern_America,northern America
northern Europe,northern Europe,http://aims.fao.org/aos/geopolitical.owl#northern_Europe,northern Europe
,,,
Oceania,Oceania,http://aims.fao.org/aos/geopolitical.owl#Oceania,Oceania
,,,
Pacific Islands Forum,Pacific Islands Forum,http://aims.fao.org/aos/geopolitical.owl#PIF,PIF
,,,
Polynesia,Polynesia,http://aims.fao.org/aos/geopolitical.owl#Polynesia,Polynesia
,,,
Small Island Developing States,Small Island Developing States,http://aims.fao.org/aos/geopolitical.owl#SIDS,SIDS
,,,
South America,South America,http://aims.fao.org/aos/geopolitical.owl#South_America,South America
,,,
South Asian Association for Regional Cooperation,South Asian Association for Regional Cooperation,http://aims.fao.org/aos/geopolitical.owl#SAARC,SAARC
south-eastern Asia,south-eastern Asia,http://aims.fao.org/aos/geopolitical.owl#south-eastern_Asia,south-eastern Asia
,,,
Southern African Development Community,Southern African Development Community,http://aims.fao.org/aos/geopolitical.owl#SADC,SADC
,,,
southern Asia,southern Asia,http://aims.fao.org/aos/geopolitical.owl#southern_Asia,southern Asia
,,,
Southern Common Market,Southern Common Market,http://aims.fao.org/aos/geopolitical.owl#MERCOSUR,MERCOSUR
,,,
southern Europe,southern Europe,http://aims.fao.org/aos/geopolitical.owl#southern_Europe,southern Europe
,,,
West African Economic and Monetary Union,West African Economic and Monetary Union,http://aims.fao.org/aos/geopolitical.owl#UEMOA,WAEMU
,,,
western Africa,western Africa,http://aims.fao.org/aos/geopolitical.owl#western_Africa,western Africa
western Asia,western Asia,http://aims.fao.org/aos/geopolitical.owl#western_Asia,western Asia
western Europe,western Europe,http://aims.fao.org/aos/geopolitical.owl#western_Europe,western Europe
World,World,http://aims.fao.org/aos/geopolitical.owl#World,World
