Afghanistan,,,AFG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Afghanistan,http://aims.fao.org/aos/geopolitical.owl#Afghanistan,Afghanistan,Afganistán,
Africa,"Africa is the world's second-largest and second most-populous continent, after Asia. At about 30.2 million km² (11.7 million sq mi) including adjacent islands, it covers 6% of the Earth's total surface area and 20.4% of the total land area.[2] With 1.0 billion people (as of 2009, see table) in 61 territories, it accounts for about 14.72% of the world's human population.","Africa is the world's second-largest and second most-populous continent, after Asia. At about 30.2 million km² (11.7 million sq mi) including adjacent islands, it covers 6% of the Earth's total surface area and 20.4% of the total land area.[2] With 1.0 billion people (as of 2009, see table) in 61 territories, it accounts for about 14.72% of the world's human population.",,,,Africa,,
Afrique du Sud,,,,,,Afrique du Sud,,
Aland Islands,,,,,,Aland Islands,Islas de Åland,Åland
Albania,,,ALB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Albania,http://aims.fao.org/aos/geopolitical.owl#Albania,Albania,Albanie,
Algeria,,,DZA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Algeria,http://aims.fao.org/aos/geopolitical.owl#Algeria,Algeria,Algérie,
American Samoa,,,,,,American Samoa,,
Andorra,,,AND,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Andorra,http://aims.fao.org/aos/geopolitical.owl#Andorra,Andorra,Andorre,
Angola,,,AGO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Angola,http://aims.fao.org/aos/geopolitical.owl#Angola,Angola,,
Anguilla,,,,,,Anguilla,,
Antarctica,,,,,,Antarctica,Antártida,Antarctique
Antigua and Barbuda,,,ATG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Antigua_and_Barbuda,http://aims.fao.org/aos/geopolitical.owl#Antigua_and_Barbuda,Antigua and Barbuda,Antigua y Barbuda,Antigua-et-Barbuda
Argelia,,,,,,Argelia,,
Argentina,,,ARG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Argentina,http://aims.fao.org/aos/geopolitical.owl#Argentina,Argentina,Argentine,
Armenia,,,ARM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Armenia,http://aims.fao.org/aos/geopolitical.owl#Armenia,Armenia,Arménie,
Aruba,,,,,,Aruba,,
Ashmore and Cartier Islands,,,,,,Ashmore and Cartier Islands,,
Asia,,,,,,Asia,,
Australia,,,AUS,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Australia,http://aims.fao.org/aos/geopolitical.owl#Australia,Australia,Australie,
Austria,,,AUT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Austria,http://aims.fao.org/aos/geopolitical.owl#Austria,Austria,Autriche,
Azerbaijan,,,AZE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Azerbaijan,http://aims.fao.org/aos/geopolitical.owl#Azerbaijan,Azerbaijan,Azerbaiyán,Azerbaïdjan
Bahamas,,,BHS,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bahamas_the,http://aims.fao.org/aos/geopolitical.owl#Bahamas_the,Bahamas,,
Bahrain,,,BHR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bahrain,http://aims.fao.org/aos/geopolitical.owl#Bahrain,Bahrain,Bahrein,
Bangladesh,,,BGD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bangladesh,http://aims.fao.org/aos/geopolitical.owl#Bangladesh,Bangladesh,,
Barbados,,,BRB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Barbados,http://aims.fao.org/aos/geopolitical.owl#Barbados,Barbados,Barbade,
Belarus,,,BLR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Belarus,http://aims.fao.org/aos/geopolitical.owl#Belarus,Belarus,,
Belgium,,,BEL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Belgium,http://aims.fao.org/aos/geopolitical.owl#Belgium,Belgium,Bélgica,Belgique
Belize,,,BLZ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Belize,http://aims.fao.org/aos/geopolitical.owl#Belize,Belize,Belice,
Benin,,,BEN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Benin,http://aims.fao.org/aos/geopolitical.owl#Benin,Benin,,
Bermudas,,,,,,Bermudas,Bermuda,Bermudes
